,close,pctChange,StockChange
2016-07-02,17.245,-0.0020254629629630205,neutral
2016-07-03,17.21,-0.002029573789504191,neutral
2016-07-04,17.175,-0.0020337013364323253,neutral
2016-07-05,17.14,-0.002037845705967989,neutral
2016-07-06,17.2,0.003500583430571691,neutral
2016-07-07,17.37,0.009883720930232709,neutral
2016-07-08,18.08,0.04087507196315476,positive
2016-07-09,17.956666666666667,-0.0068215339233037575,neutral
2016-07-10,17.833333333333332,-0.006868386857248998,neutral
2016-07-11,17.71,-0.006915887850467151,neutral
2016-07-12,18.1,0.02202145680406553,positive
2016-07-13,17.74,-0.019889502762431066,decrease
2016-07-14,17.96,0.012401352874859217,neutral
2016-07-15,18.08,0.006681514476614581,neutral
2016-07-16,18.27,0.010508849557522293,neutral
2016-07-17,18.459999999999997,0.010399562123699857,neutral
2016-07-18,18.65,0.010292524377031542,neutral
2016-07-19,18.33,-0.0171581769436997,decrease
2016-07-20,18.56,0.012547735951991212,neutral
2016-07-21,18.39,-0.009159482758620552,neutral
2016-07-22,18.37,-0.0010875475802065715,neutral
2016-07-23,18.463333333333335,0.0050807475957177495,neutral
2016-07-24,18.556666666666665,0.0050550640909909905,neutral
2016-07-25,18.65,0.005029638943775838,neutral
2016-07-26,18.45,-0.01072386058981234,neutral
2016-07-27,15.77,-0.14525745257452571,decrease
2016-07-28,16.31,0.034242232086239666,positive
2016-07-29,16.64,0.020232985898221978,positive
2016-07-30,16.64,0.0,neutral
2016-07-31,16.64,0.0,neutral
2016-08-01,16.64,0.0,neutral
2016-08-02,16.42,-0.013221153846153744,neutral
2016-08-03,17.61,0.07247259439707654,positive
2016-08-04,18.13,0.029528676888131766,positive
2016-08-05,18.26,0.007170435741864489,neutral
2016-08-06,18.240000000000002,-0.0010952902519166807,neutral
2016-08-07,18.22,-0.0010964912280703176,neutral
2016-08-08,18.2,-0.001097694840834218,neutral
2016-08-09,18.68,0.026373626373626502,positive
2016-08-10,19.04,0.01927194860813697,positive
2016-08-11,19.78,0.03886554621848748,positive
2016-08-12,19.54,-0.01213346814964622,neutral
2016-08-13,19.98,0.022517911975435068,positive
2016-08-14,20.419999999999998,0.02202202202202197,positive
2016-08-15,20.86,0.021547502448579836,positive
2016-08-16,20.4,-0.02205177372962608,decrease
2016-08-17,20.17,-0.011274509803921418,neutral
2016-08-18,19.0,-0.0580069410014874,decrease
2016-08-19,18.98,-0.001052631578947305,neutral
2016-08-20,18.836666666666666,-0.007551808921671954,neutral
2016-08-21,18.693333333333335,-0.007609272695098035,neutral
2016-08-22,18.55,-0.007667617689015804,neutral
2016-08-23,18.69,0.007547169811320753,neutral
2016-08-24,18.25,-0.02354200107009108,decrease
2016-08-25,18.32,0.003835616438356171,neutral
2016-08-26,18.3,-0.0010917030567685337,neutral
2016-08-27,18.356666666666666,0.0030965391621129434,neutral
2016-08-28,18.413333333333334,0.00308698020700926,neutral
2016-08-29,18.47,0.003077480086893347,neutral
2016-08-30,18.38,-0.004872766648619353,neutral
2016-08-31,19.21,0.04515778019586514,positive
2016-09-01,19.5,0.015096304008328953,positive
2016-09-02,19.55,0.002564102564102555,neutral
2016-09-03,19.645,0.004859335038363222,neutral
2016-09-04,19.740000000000002,0.0048358360906084474,neutral
2016-09-05,19.835,0.0048125633232014575,neutral
2016-09-06,19.93,0.004789513486261665,neutral
2016-09-07,19.87,-0.0030105368790767084,neutral
2016-09-08,18.7,-0.05888273779567199,decrease
2016-09-09,18.11,-0.03155080213903738,decrease
2016-09-10,18.12333333333333,0.0007362414872076339,neutral
2016-09-11,18.136666666666667,0.0007356998344676402,neutral
2016-09-12,18.15,0.0007351589781290357,neutral
2016-09-13,17.76,-0.02148760330578492,decrease
2016-09-14,18.08,0.018018018018017834,positive
2016-09-15,18.3,0.012168141592920456,neutral
2016-09-16,19.11,0.04426229508196711,positive
2016-09-17,18.86,-0.013082155939298845,neutral
2016-09-18,18.61,-0.013255567338282037,neutral
2016-09-19,18.36,-0.013433637829124101,neutral
2016-09-20,18.39,0.0016339869281045694,neutral
2016-09-21,18.49,0.0054377379010330795,neutral
2016-09-22,18.63,0.007571660356949783,neutral
2016-09-23,22.62,0.21417069243156206,positive
2016-09-24,22.87,0.01105216622457994,neutral
2016-09-25,23.12,0.010931351114997767,neutral
2016-09-26,23.37,0.010813148788927363,neutral
2016-09-27,23.72,0.014976465554129126,neutral
2016-09-28,22.96,-0.03204047217537931,decrease
2016-09-29,23.01,0.00217770034843201,neutral
2016-09-30,23.05,0.0017383746197305872,neutral
2016-10-01,23.366666666666667,0.013738250180766354,neutral
2016-10-02,23.683333333333334,0.013552068473609014,neutral
2016-10-03,24.0,0.013370865587614356,neutral
2016-10-04,23.52,-0.020000000000000018,decrease
2016-10-05,24.87,0.05739795918367352,positive
2016-10-06,19.87,-0.20104543626859672,decrease
2016-10-07,19.85,-0.0010065425264217387,neutral
2016-10-08,19.086666666666666,-0.03845507976490359,decrease
2016-10-09,18.323333333333334,-0.03999301432064262,decrease
2016-10-10,17.56,-0.04165908677460439,decrease
2016-10-11,18.0,0.02505694760820054,positive
2016-10-12,18.05,0.002777777777777768,neutral
2016-10-13,17.79,-0.014404432132964051,neutral
2016-10-14,16.88,-0.05115233277121978,decrease
2016-10-15,16.83,-0.002962085308056861,neutral
2016-10-16,16.78,-0.002970885323826278,neutral
2016-10-17,16.73,-0.0029797377830751426,neutral
2016-10-18,16.83,0.005977286312014218,neutral
2016-10-19,17.07,0.014260249554367332,neutral
2016-10-20,16.9,-0.009958992384300092,neutral
2016-10-21,18.09,0.07041420118343211,positive
2016-10-22,18.07,-0.001105583195135429,neutral
2016-10-23,18.05,-0.0011068068622025473,neutral
2016-10-24,18.03,-0.001108033240997175,neutral
2016-10-25,17.26,-0.042706600110926196,decrease
2016-10-26,17.29,0.0017381228273463112,neutral
2016-10-27,17.4,0.0063620589936379535,neutral
2016-10-28,17.66,0.014942528735632177,neutral
2016-10-29,17.756666666666668,0.005473763684409327,neutral
2016-10-30,17.85333333333333,0.0054439647080906095,neutral
2016-10-31,17.95,0.005414488424197117,neutral
2016-11-01,17.49,-0.02562674094707529,decrease
2016-11-02,17.61,0.006861063464837169,neutral
2016-11-03,17.58,-0.0017035775127769437,neutral
